,distv_num,dist_loca_num,Type
1974,-2.803679174,6.167947556,Host
9453,-2.802648423,6.255168341,Virus
9816,-2.802560238,6.319760596,Virus
2494,-2.802300789,6.322060537,Host
9790,-2.800091899,6.319760596,Virus
1189,-2.799074737,6.448694422,Host
8868,-2.797532665,6.167947556,Virus
7075,-2.797140714,5.766225705,Virus
7073,-2.796800401,5.766225705,Virus
8865,-2.796552849,6.167947556,Virus
1107,-2.796086618,6.448694422,Host
6369,-2.796060052,5.507657415,Virus
1350,-2.795756747,6.448694422,Host
9451,-2.794927102,6.255168341,Virus
3332,-2.790984758,6.367504144,Host
7080,-2.788965352,5.766225705,Virus
2619,-2.788601234,6.261948077,Host
7120,-2.788238282,5.794732382,Virus
1899,-2.787711873,6.049067775,Host
1464,-2.787271282,6.255168341,Host
1023,-2.787105935,6.448694422,Host
9782,-2.786764628,6.319760596,Virus
7844,-2.785722532,5.970751066,Virus
9836,-2.784195736,6.319760596,Virus
8869,-2.783648203,6.167947556,Virus
7847,-2.783537958,5.970751066,Virus
1823,-2.783249068,6.049067775,Host
1675,-2.782101832,6.049067775,Host
3321,-2.78120998,5.794732382,Host
1793,-2.780949683,5.507657415,Host
3335,-2.779130616,6.367504144,Host
7074,-2.778599169,5.766225705,Virus
3247,-2.775812661,6.204440095,Host
854,-2.774876642,6.448694422,Host
8866,-2.774854633,6.167947556,Virus
8867,-2.774470535,6.167947556,Virus
6382,-2.773151179,5.507657415,Virus
9820,-2.772389599,6.319760596,Virus
3248,-2.771388797,6.204440095,Host
1801,-2.770867624,5.970751066,Host
9419,-2.770640143,6.255168341,Virus
1188,-2.768491852,6.448694422,Host
1106,-2.76665544,6.448694422,Host
3252,-2.766567545,6.204440095,Host
3246,-2.766469078,6.204440095,Host
1590,-2.766415999,6.210694031,Host
1349,-2.764738981,6.448694422,Host
9421,-2.764483006,6.255168341,Virus
1802,-2.764369774,5.970751066,Host
7841,-2.763550587,5.970751066,Virus
6372,-2.763155448,5.507657415,Virus
7843,-2.762883759,5.970751066,Virus
6373,-2.761087241,5.507657415,Virus
7110,-2.761070019,5.794732382,Virus
1897,-2.758450664,6.049067775,Host
7146,-2.757659672,5.794732382,Virus
10222,-2.75572724,6.448694422,Virus
8871,-2.755537611,6.167947556,Virus
7846,-2.755534028,5.970751066,Virus
7845,-2.750750874,5.970751066,Virus
9424,-2.749008594,6.255168341,Virus
7848,-2.748663053,5.970751066,Virus
1789,-2.748106998,5.507657415,Host
7077,-2.748098729,5.766225705,Virus
1790,-2.74434936,5.507657415,Host
1466,-2.742917207,6.255168341,Host
8168,-2.741838844,6.049067775,Virus
3333,-2.740644991,6.367504144,Host
7842,-2.739812101,5.970751066,Virus
9897,-2.738866555,6.322060537,Virus
2618,-2.738280181,6.261948077,Host
9450,-2.737539187,6.255168341,Virus
3331,-2.733609816,6.367504144,Host
1791,-2.732349152,5.507657415,Host
9796,-2.731967158,6.319760596,Virus
7102,-2.731927366,5.794732382,Virus
1268,-2.730973193,6.448694422,Host
10206,-2.730494331,6.448694422,Virus
9121,-2.729945476,6.210694031,Virus
767,-2.729030455,6.448694422,Host
7099,-2.727324042,5.794732382,Virus
10046,-2.727250207,6.377449076,Virus
1507,-2.726642388,6.377449076,Host
1792,-2.725983296,5.507657415,Host
